"name","file","start_line","end_line","scope"
"get_token_value","tests/legacy_tests/canonical.py",45,45,"Class CanonicalScanner"
"find_token","tests/legacy_tests/canonical.py",196,196,"Class CanonicalScanner"
"scan_directive","lib/yaml/scanner.py",787,787,"Class Scanner"
"scan_directive","tests/legacy_tests/canonical.py",95,95,"Class CanonicalScanner"
"scan_alias","tests/legacy_tests/canonical.py",103,103,"Class CanonicalScanner"
"scan_tag","lib/yaml/scanner.py",935,935,"Class Scanner"
"scan_tag","tests/legacy_tests/canonical.py",115,115,"Class CanonicalScanner"
"scan_scalar","tests/legacy_tests/canonical.py",156,156,"Class CanonicalScanner"
"parse_stream","tests/legacy_tests/canonical.py",219,219,"Class CanonicalParser"
"parse_document","tests/legacy_tests/canonical.py",231,231,"Class CanonicalParser"
"parse_node","lib/yaml/parser.py",273,273,"Class Parser"
"parse_node","tests/legacy_tests/canonical.py",241,241,"Class CanonicalParser"
"parse_sequence","tests/legacy_tests/canonical.py",263,263,"Class CanonicalParser"
"parse_mapping","tests/legacy_tests/canonical.py",275,275,"Class CanonicalParser"
"parse_map_entry","tests/legacy_tests/canonical.py",287,287,"Class CanonicalParser"
"peek_event","lib/yaml/parser.py",107,107,"Class Parser"
"peek_event","tests/legacy_tests/canonical.py",313,313,"Class CanonicalParser"
"canonical_scan","tests/legacy_tests/canonical.py",332,332,"Module canonical"
"canonical_parse","tests/legacy_tests/canonical.py",337,337,"Module canonical"
"canonical_compose","tests/legacy_tests/canonical.py",342,342,"Module canonical"
"canonical_compose_all","tests/legacy_tests/canonical.py",347,347,"Module canonical"
"canonical_load","tests/legacy_tests/canonical.py",352,352,"Module canonical"
"canonical_load_all","tests/legacy_tests/canonical.py",357,357,"Module canonical"
"compose_document","lib/yaml/composer.py",50,50,"Class Composer"
"compose_node","lib/yaml/composer.py",63,63,"Class Composer"
"descend_resolver","lib/yaml/resolver.py",91,91,"Class BaseResolver"
"compose_scalar_node","lib/yaml/composer.py",88,88,"Class Composer"
"compose_sequence_node","lib/yaml/composer.py",99,99,"Class Composer"
"compose_mapping_node","lib/yaml/composer.py",117,117,"Class Composer"
"ascend_resolver","lib/yaml/resolver.py",114,114,"Class BaseResolver"
"resolve","lib/yaml/resolver.py",143,143,"Class BaseResolver"
"find_test_filenames","tests/legacy_tests/test_appliance.py",21,21,"Module test_appliance"
"runtest","tests/legacy_tests/conftest.py",39,39,"Class PyYAMLItem"
"reportinfo","tests/legacy_tests/conftest.py",42,42,"Class PyYAMLItem"
"reportinfo","tests/legacy_tests/conftest.py",82,82,"Class PyYAMLCollector"
"collect","tests/legacy_tests/conftest.py",58,58,"Class PyYAMLCollector"
"from_parent","tests/legacy_tests/conftest.py",86,86,"Class PyYAMLCollector"
"pytest_pycollect_makeitem","tests/legacy_tests/conftest.py",91,91,"Script conftest.py"
"pytest_collection_modifyitems","tests/legacy_tests/conftest.py",112,112,"Script conftest.py"
"pytest_ignore_collect","tests/legacy_tests/conftest.py",116,116,"Script conftest.py"
